11-08 02:24:45, 6.994, 229.5, 22.92, 651.890572192
11-08 02:24:51, 6.992, 229.3, 22.76, 1012.55986641
11-08 02:24:56, 6.991, 229.4, 22.76, 1012.56412703
11-08 02:25:01, 6.990, 229.3, 22.75, 1012.56888012
11-08 02:25:06, 6.992, 229.4, 22.76, 1012.5508526
11-08 02:25:11, 6.993, 229.4, 22.75, 1012.56888012
11-08 02:27:23, 6.996, 229.6, 22.75, 1012.56888012
11-08 02:27:28, 6.998, 229.5, 22.75, 1012.41434273
11-08 02:27:33, 6.997, 229.4, 22.74, 1012.37927455
11-08 02:29:00, 6.994, 229.5, 22.75, 1012.3877944
11-08 02:29:05, 6.998, 229.5, 22.79, 1012.78389796
11-08 02:29:10, 6.998, 229.6, 22.78, 1012.71326141
11-08 02:29:16, 6.996, 229.5, 22.79, 1012.75259524
11-08 02:30:30, 6.998, 229.6, 22.78, 1012.76636151
11-08 02:30:36, 6.997, 229.6, 22.81, 1012.77816304
11-08 02:30:41, 6.996, 229.6, 22.82, 1012.71080028
11-08 02:30:46, 6.995, 229.6, 22.82, 1012.67998778
11-08 02:30:51, 6.995, 229.5, 22.82, 1012.62262415
11-08 02:30:56, 6.993, 229.6, 22.82, 1012.52067904
11-08 02:31:01, 6.994, 229.6, 22.82, 1012.45430058
11-08 02:31:07, 6.993, 229.5, 22.82, 1012.47609626
11-08 02:31:12, 6.994, 229.5, 22.82, 1012.37464657
11-08 02:35:12, 6.995, 229.5, 22.82, 1012.29499272
11-08 02:35:17, 6.993, 229.4, 22.82, 1012.62213027
11-08 02:35:22, 6.994, 229.4, 22.82, 1012.58279713
11-08 02:37:11, 6.997, 229.5, 22.82, 1012.60033333
11-08 02:37:16, 6.996, 229.5, 22.83, 1012.57279251
11-08 02:37:21, 6.995, 229.6, 22.83, 1012.45330832
11-08 02:37:26, 6.995, 229.6, 22.83, 1012.47986033
11-08 02:37:31, 6.993, 229.6, 22.84, 1012.44429214
11-08 02:37:36, 6.995, 229.6, 22.83, 1012.49313634
11-08 02:53:46, 6.992, 229.5, 22.84, 1012.45756819
11-08 02:54:19, 6.991, 229.6, 22.63, 1012.85936709
11-08 02:54:51, 6.992, 229.5, 22.61, 1012.89637238
11-08 08:06:26, 6.957, 229.4, 22.68, 1012.79909969
11-08 08:06:58, 6.956, 229.4, 19.93, 1014.7408079
11-08 08:07:31, 6.954, 229.3, 19.94, 1014.70469219
11-08 08:08:03, 6.952, 229.3, 19.94, 1014.7443397
11-08 08:08:35, 6.953, 229.6, 19.93, 1014.79795051
11-08 08:09:07, 6.954, 229.5, 19.94, 1014.83256992
11-08 08:09:39, 6.952, 229.3, 19.93, 1014.74936886
11-08 08:10:12, 6.955, 229.6, 19.95, 1014.80148376
11-08 08:10:44, 6.956, 229.5, 19.94, 1014.67826054
11-08 08:11:16, 6.955, 229.4, 19.93, 1014.78473497
11-08 08:11:48, 6.953, 229.4, 19.92, 1014.7761737
11-08 08:12:20, 6.955, 229.3, 19.93, 1014.78008063
11-08 08:12:52, 6.951, 229.4, 19.95, 1014.73540423
11-08 08:13:25, 6.955, 229.5, 19.93, 1014.81972757
11-08 08:13:57, 6.951, 229.4, 19.92, 1014.78938912
11-08 08:14:29, 6.952, 229.5, 19.93, 1014.82010079
11-08 08:15:01, 6.952, 229.4, 19.93, 1014.85509362
11-08 08:15:33, 6.952, 229.4, 19.93, 1014.91223726
11-08 08:16:06, 6.951, 229.5, 19.93, 1014.8508127
11-08 08:16:38, 6.952, 229.4, 19.91, 1014.81656562
11-08 08:17:10, 6.951, 229.4, 19.92, 1014.85118538
11-08 08:17:42, 6.951, 229.3, 19.93, 1014.93438738
11-08 08:18:14, 6.947, 229.5, 19.93, 1014.88617832
11-08 08:18:47, 6.951, 229.3, 19.93, 1014.79795051
11-08 08:19:19, 6.952, 229.4, 19.93, 1014.88152486
11-08 08:19:51, 6.948, 229.5, 19.93, 1014.87724383
11-08 08:20:23, 6.950, 229.3, 19.93, 1014.88152486
11-08 08:20:55, 6.950, 229.4, 19.93, 1014.88617832
11-08 08:21:27, 6.949, 229.4, 19.93, 1014.93010613
11-08 08:22:00, 6.946, 229.2, 19.94, 1014.91651842
11-08 08:22:32, 6.950, 229.2, 19.93, 1014.96510003
11-08 08:23:04, 6.949, 229.5, 19.94, 1015.00865744
11-08 08:23:36, 6.947, 229.4, 19.93, 1014.9829685
11-08 08:24:08, 6.949, 229.4, 19.94, 1014.96938141
11-08 08:24:41, 6.949, 229.3, 19.94, 1014.97794419
11-08 08:25:13, 6.951, 229.5, 19.94, 1015.01331025
11-08 08:25:45, 6.948, 229.4, 19.93, 1014.90795611
11-08 08:26:17, 6.948, 229.4, 19.94, 1014.95151247
