11-15 00:47:20, 6.917, 229.8, 22.92, 651.890572192
11-15 00:47:52, 6.914, 229.8, 22.04, 1013.26965037
11-15 01:06:01, 7.000, 229.1, 22.02, 1013.29282303
11-15 01:06:33, 6.999, 228.9, 22.23, 1013.3296238
11-15 01:07:05, 6.999, 229.1, 22.22, 1013.3660796
11-15 01:07:38, 7.000, 228.9, 22.19, 1013.34535091
11-15 01:08:10, 6.998, 228.9, 22.17, 1013.33301706
11-15 01:08:42, 7.000, 228.9, 22.19, 1013.34961696
11-15 01:09:14, 7.000, 229.1, 22.2, 1013.51716885
11-15 01:09:46, 7.000, 229.2, 22.17, 1013.37326767
11-15 01:10:19, 6.999, 229.0, 22.16, 1013.55467185
11-15 01:10:51, 7.000, 228.9, 22.15, 1013.45376536
11-15 01:11:23, 7.001, 229.0, 22.16, 1013.39552571
11-15 01:11:55, 7.001, 229.1, 22.17, 1013.50542792
11-15 01:12:27, 6.999, 229.2, 22.17, 1013.37326767
11-15 01:12:59, 7.000, 229.1, 22.17, 1013.59399769
11-15 01:13:32, 7.000, 229.2, 22.18, 1013.48270725
11-15 01:14:04, 7.003, 229.0, 22.17, 1013.65131461
11-15 01:14:36, 7.005, 229.0, 22.15, 1013.44949871
11-15 01:15:08, 7.005, 229.0, 22.14, 1013.48075068
11-15 01:15:40, 7.004, 229.0, 22.1, 1013.51857016
11-15 01:16:13, 7.007, 229.0, 22.08, 1013.44005711
11-15 01:16:45, 7.008, 229.0, 22.06, 1013.42738789
11-15 01:17:17, 7.008, 229.0, 22.05, 1013.39706062
11-15 01:17:49, 7.009, 229.1, 22.02, 1013.39889651
11-15 01:18:21, 7.009, 229.0, 22.01, 1013.4083469
11-15 01:18:54, 7.011, 229.0, 22.0, 1013.41746831
11-15 01:19:26, 7.009, 229.0, 22.03, 1013.42922364
11-15 01:19:58, 7.008, 228.8, 22.04, 1013.37146003
11-15 01:20:30, 7.011, 229.1, 22.03, 1013.41169728
11-15 01:21:02, 7.009, 229.0, 22.07, 1013.47603044
11-15 01:21:34, 7.010, 229.1, 22.11, 1013.36797248
11-15 01:22:07, 7.007, 229.1, 22.1, 1013.3859613
11-15 01:22:39, 7.007, 229.0, 22.12, 1013.42908863
11-15 01:23:11, 7.006, 229.1, 22.12, 1013.44234988
11-15 01:23:43, 7.009, 229.0, 22.13, 1013.52145724
11-15 01:24:15, 7.007, 229.0, 22.11, 1013.4650662
11-15 01:24:48, 7.008, 229.0, 22.1, 1013.43001064
11-15 01:25:20, 7.007, 229.1, 22.1, 1013.53183107
11-15 01:25:52, 7.008, 229.0, 22.1, 1013.4830544
11-15 01:26:24, 7.008, 228.9, 22.11, 1013.49585528
11-15 01:26:56, 7.007, 229.2, 22.1, 1013.49631535
11-15 01:27:29, 7.009, 229.1, 22.1, 1013.4830544
11-15 01:28:01, 7.006, 229.2, 22.13, 1013.51672974
11-15 01:28:33, 7.008, 229.0, 22.11, 1013.53990578
11-15 01:29:05, 7.006, 229.0, 22.15, 1013.48028917
11-15 01:29:37, 7.008, 229.1, 22.14, 1013.48501747
11-15 01:30:09, 7.006, 229.1, 22.15, 1013.48455594
11-15 01:30:42, 7.009, 229.1, 22.19, 1013.49550721
11-15 01:31:14, 7.006, 229.2, 22.17, 1013.45710753
11-15 01:31:46, 7.009, 229.0, 22.16, 1013.58165697
11-15 01:32:18, 7.007, 229.1, 22.15, 1013.51580801
11-15 01:32:50, 7.008, 229.0, 22.14, 1013.59583934
11-15 01:33:22, 7.009, 229.0, 22.16, 1013.50162307
11-15 01:33:55, 7.007, 229.0, 22.16, 1013.50208473
11-15 01:34:27, 7.008, 229.0, 22.16, 1013.48409414
11-15 01:34:59, 7.007, 229.1, 22.18, 1013.4831698
11-15 01:35:31, 7.009, 229.1, 22.18, 1013.45191551
11-15 01:36:03, 7.007, 229.1, 22.21, 1013.49444594
11-15 01:36:36, 7.007, 229.0, 22.19, 1013.50450327
11-15 01:37:08, 7.006, 229.0, 22.25, 1013.51012016
11-15 01:37:40, 7.008, 228.9, 22.22, 1013.46318902
11-15 01:38:12, 7.007, 229.0, 22.25, 1013.589704
11-15 01:38:44, 7.009, 229.0, 22.23, 1013.47125761
11-15 01:39:17, 7.011, 229.0, 22.2, 1013.43759061
11-15 01:39:49, 7.012, 229.0, 22.16, 1013.49735627
11-15 01:40:21, 7.011, 228.9, 22.12, 1013.50865622
11-15 01:40:53, 7.012, 229.0, 22.12, 1013.51765046
11-15 01:41:25, 7.010, 228.9, 22.1, 1013.56262018
